Journal name,Group,Category,JIF Quartile
International Journal of Agricultural Sustainability,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
ACS Agricultural Science & Technology,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
JOURNAL OF AGRONOMY AND CROP SCIENCE,Biology & Biochemistry,AGRONOMY,Q1
Journal of Proteomics,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,Biology & Biochemistry,AGRONOMY,Q1
Frontiers of Agricultural Science and Engineering,Biology & Biochemistry,AGRONOMY,Q1
Expert Review of Proteomics,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Animals,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
ASIAN JOURNAL OF ANDROLOGY,Biology & Biochemistry,ANDROLOGY,Q2
ANIMAL FEED SCIENCE AND TECHNOLOGY,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
International Journal of Wine Business Research,Biology & Biochemistry,AGRONOMY,Q1
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Drug Testing and Analysis,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
SLAS Discovery,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Organic Agriculture,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
CABI Agriculture & Bioscience,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
OUTLOOK ON AGRICULTURE,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
NJAS-Impact in Agricultural and Life Sciences,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
PHYTOCHEMICAL ANALYSIS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Agroecology and Sustainable Food Systems,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
Animal Bioscience,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
TISSUE & CELL,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q1
Crop Protection,Biology & Biochemistry,AGRONOMY,Q1
WEED SCIENCE,Biology & Biochemistry,AGRONOMY,Q1
ANALYTICAL BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
ELECTROPHORESIS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Synthetic Biology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Proteomics Clinical Applications,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
BIOTECHNIQUES,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Frontiers in Animal Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
in silico Plants,Biology & Biochemistry,AGRONOMY,Q2
Bioinformatics and Biology Insights,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
PLANT PATHOLOGY,Biology & Biochemistry,AGRONOMY,Q2
Molecular Imaging,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
WEED RESEARCH,Biology & Biochemistry,AGRONOMY,Q2
Biomicrofluidics,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
CLINICAL ANATOMY,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q1
Italian Journal of Animal Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Frontiers in Neuroanatomy,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q1
JOURNAL OF NEUROSCIENCE METHODS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Journal of Biophotonics,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Cogent Food & Agriculture,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
Grassland Research,Biology & Biochemistry,AGRONOMY,Q2
Veterinary and Animal Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
JDS Communications,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Current Protocols,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Systems Biology in Reproductive Medicine,Biology & Biochemistry,ANDROLOGY,Q2
Annals of Animal Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
JOURNAL OF REPRODUCTION AND DEVELOPMENT,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
AGROFORESTRY SYSTEMS,Biology & Biochemistry,AGRONOMY,Q2
International Journal of Plant Production,Biology & Biochemistry,AGRONOMY,Q2
Grass Research,Biology & Biochemistry,AGRONOMY,Q2
Journal of Plant Diseases and Protection,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
JOURNAL OF AGRICULTURAL SCIENCE,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
BREEDING SCIENCE,Biology & Biochemistry,AGRONOMY,Q2
Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q1
MICROSCOPY RESEARCH AND TECHNIQUE,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q1
Poultry,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
DOMESTIC ANIMAL ENDOCRINOLOGY,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Italian Journal of Agronomy,Biology & Biochemistry,AGRONOMY,Q2
POTATO RESEARCH,Biology & Biochemistry,AGRONOMY,Q2
ANIMAL GENETICS,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Journal of Spectroscopy,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Animal Reproduction,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Paddy and Water Environment,Biology & Biochemistry,AGRONOMY,Q2
CYTOMETRY PART A,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
APPLIED ANIMAL BEHAVIOUR SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Basic and Clinical Andrology,Biology & Biochemistry,ANDROLOGY,Q3
ANDROLOGIA,Biology & Biochemistry,ANDROLOGY,Q3
JOURNAL OF APPLIED POULTRY RESEARCH,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Veterinary World,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
AGRONOMY JOURNAL,Biology & Biochemistry,AGRONOMY,Q2
RENEWABLE AGRICULTURE AND FOOD SYSTEMS,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
Journal of Magnetic Resonance Open,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
JOURNAL OF MASS SPECTROMETRY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Methods and Protocols,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Sugar Tech,Biology & Biochemistry,AGRONOMY,Q2
TRANSGENIC RESEARCH,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
MYCOBIOLOGY,Biology & Biochemistry,AGRONOMY,Q2
OCL-Oilseeds and Fats Crops and Lipids,Biology & Biochemistry,AGRONOMY,Q2
JOURNAL OF ANATOMY,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q2
JOURNAL OF ANIMAL BREEDING AND GENETICS,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
CELLS TISSUES ORGANS,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q2
Livestock Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
JOURNAL OF MAGNETIC RESONANCE,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
JOURNAL OF APPLIED ANIMAL RESEARCH,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
CROP SCIENCE,Biology & Biochemistry,AGRONOMY,Q2
Crop & Pasture Science,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
EUROPEAN JOURNAL OF PLANT PATHOLOGY,Biology & Biochemistry,AGRONOMY,Q2
PHYTOPATHOLOGIA MEDITERRANEA,Biology & Biochemistry,AGRONOMY,Q2
PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
JOURNAL OF MICROBIOLOGICAL METHODS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q3
Crops,Biology & Biochemistry,AGRONOMY,Q2
CEREAL RESEARCH COMMUNICATIONS,Biology & Biochemistry,AGRONOMY,Q2
EXPERIMENTAL AGRICULTURE,Biology & Biochemistry,AGRONOMY,Q2
ANIMAL BIOTECHNOLOGY,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
PLANT SOIL AND ENVIRONMENT,Biology & Biochemistry,AGRONOMY,Q2
Translational Animal Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Archives of Agronomy and Soil Science,Biology & Biochemistry,AGRONOMY,Q2
ANNALS OF APPLIED BIOLOGY,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,Biology & Biochemistry,AGRONOMY,Q2
Advances in Agriculture,Biology & Biochemistry,AGRONOMY,Q2
Chilean Journal of Agricultural Research,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
Chilean Journal of Agricultural Research,Biology & Biochemistry,AGRONOMY,Q2
AMERICAN JOURNAL OF POTATO RESEARCH,Biology & Biochemistry,AGRONOMY,Q2
Czech Journal of Genetics and Plant Breeding,Biology & Biochemistry,AGRONOMY,Q2
Bioanalysis,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
PLANT BREEDING,Biology & Biochemistry,AGRONOMY,Q2
International Journal of Sustainable Agricultural Management and Informatics,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q2
TROPICAL ANIMAL HEALTH AND PRODUCTION,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
BRITISH POULTRY SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
ANATOMICAL SCIENCE INTERNATIONAL,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q2
REPRODUCTION IN DOMESTIC ANIMALS,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Translational Andrology and Urology,Biology & Biochemistry,ANDROLOGY,Q4
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
International Agrophysics,Biology & Biochemistry,AGRONOMY,Q2
EUPHYTICA,Biology & Biochemistry,AGRONOMY,Q2
BIOMEDICAL CHROMATOGRAPHY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
WEED TECHNOLOGY,Biology & Biochemistry,AGRONOMY,Q2
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
IRRIGATION AND DRAINAGE,Biology & Biochemistry,AGRONOMY,Q2
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
Algorithms for Molecular Biology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
Agrisost,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
JOURNAL OF POULTRY SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
Archives Animal Breeding,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
JOURNAL OF VIROLOGICAL METHODS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
Proteome Science,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
BIOLOGICAL AGRICULTURE & HORTICULTURE,Biology & Biochemistry,AGRONOMY,Q3
Open Agriculture,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
JOURNAL OF COMPUTATIONAL BIOLOGY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
Iraqi Journal of Agricultural Sciences,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
JOURNAL OF IMMUNOLOGICAL METHODS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
Advances in Weed Science,Biology & Biochemistry,AGRONOMY,Q3
ARCHIVES OF ANIMAL NUTRITION,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
DEVELOPMENTAL DYNAMICS,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q2
Journal of Advanced Veterinary and Animal Research,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
JOURNAL OF ANIMAL AND FEED SCIENCES,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
SCIENTIA AGRICOLA,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
Applied Animal Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q2
PHYTOPARASITICA,Biology & Biochemistry,AGRONOMY,Q3
BRAGANTIA,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
International Journal of Agronomy,Biology & Biochemistry,AGRONOMY,Q3
Agrosystems Geosciences & Environment,Biology & Biochemistry,AGRONOMY,Q3
BIOLOGICALS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,Biology & Biochemistry,AGRONOMY,Q3
WEED BIOLOGY AND MANAGEMENT,Biology & Biochemistry,AGRONOMY,Q3
Journal of Crop Improvement,Biology & Biochemistry,AGRONOMY,Q3
JOURNAL OF MORPHOLOGY,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q3
SMALL RUMINANT RESEARCH,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q3
Journal of Animal Behaviour and Biometeorology,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q3
New Medit,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
PLANT MOLECULAR BIOLOGY REPORTER,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,Biology & Biochemistry,AGRONOMY,Q3
PLANT PROTECTION SCIENCE,Biology & Biochemistry,AGRONOMY,Q3
IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
ACTA ZOOLOGICA,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q3
Ruminants,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q3
CZECH JOURNAL OF ANIMAL SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q3
PLANT PRODUCTION SCIENCE,Biology & Biochemistry,AGRONOMY,Q3
Biology Methods & Protocols,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
World Rabbit Science,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q3
AIMS Agriculture and Food,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
AIMS Agriculture and Food,Biology & Biochemistry,AGRONOMY,Q3
CANADIAN JOURNAL OF PLANT SCIENCE,Biology & Biochemistry,AGRONOMY,Q3
STAR Protocols,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
CHROMATOGRAPHIA,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
JOURNAL OF CHROMATOGRAPHIC SCIENCE,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q4
JOURNAL OF PLANT PROTECTION RESEARCH,Biology & Biochemistry,AGRONOMY,Q3
Journal of Agricultural Science and Technology,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q2
FOLIA MORPHOLOGICA,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q3
